category,difficulty,question,option1,option2,option3,option4,answer
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 12,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 13,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 14,A вариант,B вариант,C вариант,D вариант,A вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 15,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 16,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 17,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 18,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 19,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 20,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 1,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 2,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 3,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 4,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 5,A вариант,B вариант,C вариант,D вариант,A вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 6,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 7,A вариант,B вариант,C вариант,D вариант,A вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 8,A вариант,B вариант,C вариант,D вариант,A вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 9,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 10,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 11,A вариант,B вариант,C вариант,D вариант,A вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 12,A вариант,B вариант,C вариант,D вариант,A вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 13,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 14,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 15,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 16,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 17,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 18,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 19,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Сложный,[DevOps и контейнеризация] Сложный — Вопрос 20,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 1,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 2,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 3,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 4,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 5,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 6,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 7,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 8,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 9,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 10,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 11,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 12,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 13,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 14,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 15,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 16,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 17,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 18,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 19,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Лёгкий,[API‑тестирование и веб‑сервисы] Лёгкий — Вопрос 20,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 1,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 2,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 3,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 4,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 5,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 6,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 7,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 8,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 9,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 10,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 11,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 12,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 13,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 14,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 15,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 16,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 17,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 18,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 19,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Средний,[API‑тестирование и веб‑сервисы] Средний — Вопрос 20,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 1,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 2,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 3,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 4,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 5,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 6,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 7,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 8,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 9,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 10,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 11,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 12,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 13,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 14,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 15,A вариант,B вариант,C вариант,D вариант,B вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 16,A вариант,B вариант,C вариант,D вариант,D вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 17,A вариант,B вариант,C вариант,D вариант,A вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 18,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 19,A вариант,B вариант,C вариант,D вариант,C вариант
API‑тестирование и веб‑сервисы,Сложный,[API‑тестирование и веб‑сервисы] Сложный — Вопрос 20,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 1,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 2,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 3,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 4,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 5,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 6,A вариант,B вариант,C вариант,D вариант,D вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 7,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 8,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 9,A вариант,B вариант,C вариант,D вариант,D вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 10,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 11,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 12,A вариант,B вариант,C вариант,D вариант,D вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 13,A вариант,B вариант,C вариант,D вариант,D вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 14,A вариант,B вариант,C вариант,D вариант,D вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 15,A вариант,B вариант,C вариант,D вариант,D вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 16,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 17,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 18,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 19,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Лёгкий,[Производительность и нагрузка] Лёгкий — Вопрос 20,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 1,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 2,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 3,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 4,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 5,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 6,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 7,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 8,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 9,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 10,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 11,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 12,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 13,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 14,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 15,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 16,A вариант,B вариант,C вариант,D вариант,D вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 17,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 18,A вариант,B вариант,C вариант,D вариант,D вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 19,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Средний,[Производительность и нагрузка] Средний — Вопрос 20,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 1,A вариант,B вариант,C вариант,D вариант,D вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 2,A вариант,B вариант,C вариант,D вариант,D вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 3,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 4,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 5,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 6,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 7,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 8,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 9,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 10,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 11,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 12,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 13,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 14,A вариант,B вариант,C вариант,D вариант,D вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 15,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 16,A вариант,B вариант,C вариант,D вариант,B вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 17,A вариант,B вариант,C вариант,D вариант,C вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 18,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 19,A вариант,B вариант,C вариант,D вариант,A вариант
Производительность и нагрузка,Сложный,[Производительность и нагрузка] Сложный — Вопрос 20,A вариант,B вариант,C вариант,D вариант,C вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 1,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 2,A вариант,B вариант,C вариант,D вариант,C вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 3,A вариант,B вариант,C вариант,D вариант,B вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 4,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 5,A вариант,B вариант,C вариант,D вариант,B вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 6,A вариант,B вариант,C вариант,D вариант,C вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 7,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 8,A вариант,B вариант,C вариант,D вариант,B вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 9,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 10,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 11,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 12,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 13,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 14,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 15,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 16,A вариант,B вариант,C вариант,D вариант,C вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 17,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 18,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 19,A вариант,B вариант,C вариант,D вариант,B вариант
Безопасность (Security Testing),Лёгкий,[Безопасность (Security Testing)] Лёгкий — Вопрос 20,A вариант,B вариант,C вариант,D вариант,C вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 1,A вариант,B вариант,C вариант,D вариант,B вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 2,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 3,A вариант,B вариант,C вариант,D вариант,B вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 4,A вариант,B вариант,C вариант,D вариант,C вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 5,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 6,A вариант,B вариант,C вариант,D вариант,C вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 7,A вариант,B вариант,C вариант,D вариант,C вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 8,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 9,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 10,A вариант,B вариант,C вариант,D вариант,C вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 11,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 12,A вариант,B вариант,C вариант,D вариант,B вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 13,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 14,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 15,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 16,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 17,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 18,A вариант,B вариант,C вариант,D вариант,B вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 19,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Средний,[Безопасность (Security Testing)] Средний — Вопрос 20,A вариант,B вариант,C вариант,D вариант,A вариант
Безопасность (Security Testing),Сложный,[Безопасность (Security Testing)] Сложный — Вопрос 1,A вариант,B вариант,C вариант,D вариант,D вариант
Безопасность (Security Testing),Сложный,[Безопасность (Security Testing)] Сложный — Вопрос 2,A вариант,B вариант,C вариант,D вариант,C вариант
Безопасность (Security Testing),Сложный,[Безопасность (Security Testing)] Сложный — Вопрос 3,A вариант,B вариант,C вариант,D вариант,B вариант
Безопасность (Security Testing),Сложный,[Безопасность (Security Testing)] Сложный — Вопрос 4,A вариант,B вариант,C вариант,D вариант,C вариант
Безопасность (Security Testing),Сложный,[Безопасность (Security Testing)] Сложный — Вопрос 5,A вариант,B вариант,C вариант,D вариант,B вариант
Безопасность (Security Testing),Сложный,[Безопасность (Security Testing)] Сложный — Вопрос 6,A вариант,B вариант,C вариант,D вариант,B вариант
Безопасность (Security Testing),Сложный,[Безопасность (Security Testing)] Сложный — Вопрос 7,A вариант,B вариант,C вариант,D вариант,A вариант
